Years	19th	20th
0 8.506000 8.396000
1 8.484000 8.502000
2 8.590000 8.542000
3 8.578000 8.304000
4 8.503000 8.220000
5 8.845000 8.091000
6 8.563000 8.225000
7 8.434000 8.379000
8 8.281000 7.947000
9 7.627000 8.186000
10 7.076000 8.178000
11 6.923000 8.223000
12 6.860000 8.177000
13 7.046000 8.165000
14 7.740000 8.298000
15 7.592000 8.591000
16 7.239000 8.593000
17 6.938000 8.225000
18 6.976000 8.023000
19 7.829000 8.131000
20 7.369000 8.382000
21 7.616000 8.359000
22 8.090000 8.571000
23 8.188000 8.408000
24 7.719000 8.422000
25 8.547000 8.507000
26 8.389000 8.534000
27 8.357000 8.729000
28 8.809000 8.522000
29 8.165000 8.632000
30 7.942000 8.242000
31 8.517000 8.634000
32 7.639000 8.719000
33 7.450000 8.705000
34 8.013000 8.338000
35 8.147000 8.628000
36 7.392000 8.516000
37 7.696000 8.554000
38 7.376000 8.698000
39 7.515000 8.864000
40 7.632000 8.760000
41 7.796000 8.765000
42 7.688000 8.769000
43 8.023000 8.728000
44 8.174000 8.755000
45 7.646000 8.845000
46 7.851000 8.585000
47 8.553000 8.677000
48 8.086000 8.797000
49 7.980000 8.747000
50 7.984000 8.587000
51 7.901000 8.365000
52 8.179000 8.626000
53 8.100000 8.638000
54 8.042000 8.874000
55 8.210000 8.561000
56 8.111000 8.626000
57 7.996000 8.280000
58 7.758000 8.732000
59 8.100000 8.774000
60 8.252000 8.733000
61 7.961000 8.584000
62 7.847000 8.798000
63 7.559000 8.746000
64 8.112000 8.856000
65 7.984000 8.410000
66 8.178000 8.527000
67 8.292000 8.599000
68 8.436000 8.700000
69 8.248000 8.516000
70 8.432000 8.595000
71 8.201000 8.701000
72 8.115000 8.599000
73 8.194000 8.500000
74 8.351000 8.948000
75 8.434000 8.467000
76 7.860000 8.745000
77 8.080000 8.347000
78 8.540000 8.850000
79 8.830000 8.693000
80 8.166000 8.733000
81 8.119000 8.980000
82 8.271000 9.166000
83 8.129000 8.639000
84 7.977000 9.028000
85 7.774000 8.692000
86 7.920000 8.658000
87 7.954000 8.834000
88 7.915000 8.994000
89 8.091000 9.202000
90 8.319000 8.922000
91 7.972000 9.234000
92 8.019000 9.179000
93 8.066000 8.837000
94 8.057000 8.867000
95 8.161000 9.039000
96 8.147000 9.347000
97 8.215000 9.039000
98 8.293000 9.203000
99 8.178000 9.523000
100 8.396000 9.285000
